,,1,2,3,4,5,6
0:00,1:00,0,0,0,0,0,0
1:00,2:00,0,0,0,0,0,0
2:00,3:00,0,0,0,0,0,0
3:00,4:00,0,0,0,0,0,0
4:00,5:00,0,0,0,0,0,0
5:00,6:00,0,0,0,0,0,0
6:00,7:00,0,0,0,0,0,0
7:00,8:00,0,0,0,0,0,0
8:00,9:00,0,0,0,0,0,0
9:00,10:00,0,0,0,0,0,0
10:00,11:00,0,0,0,0,0,0
11:00,12:00,0,0,0,0,0,0
12:00,13:00,0,1,0,0,1,0
13:00,14:00,0,1,0,0,1,0
14:00,15:00,0,1,0,0,1,0
15:00,16:00,0,1,0,0,1,0
16:00,17:00,0,1,0,0,1,0
17:00,18:00,0,1,0,0,1,0
18:00,19:00,0,1,0,0,1,0
19:00,20:00,0,1,0,0,1,0
20:00,21:00,0,0,0,0,0,0
21:00,22:00,0,0,0,0,0,0
22:00,23:00,0,0,0,0,0,0
23:00,24:00:00,0,0,0,0,0,0
